N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 26일 (Thu)
1#,[뉴스 정치]#,"""우리 사정을 어떻게 알겠어""…""지탄받을 처사""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=055&aid=0000916967
2#,[뉴스 정치]#,"바짝 몸 낮춘 이재명, 文心에 진한 러브콜·본선 염두 원팀 강조#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002524015
3#,[뉴스 정치]#,"""여야 대선 후보 부동산 검증하자""…역공 나선 국민의힘#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002524014
4#,[뉴스 정치]#,윤석열 “내 정부에선 추미애 없다”…추미애 “그 정부 없을 것”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=005&aid=0001466546
5#,[뉴스 정치]#,목숨 건 ‘미라클 작전’… 391명 아프간 탈출 막전막후#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=005&aid=0001466543
6#,[뉴스 경제]#,현대重·카카오페이 IPO 대어 출격…대형주 명예 회복하나#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005019761
7#,[뉴스 경제]#,대어 부진에 실망…공모주 펀드 인기 시들#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005019760
8#,[뉴스 경제]#,치킨값 버는 공모주?…4곳 중 1곳 공모가 밑돌아#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005019759
9#,[뉴스 경제]#,"[판이 바뀐다-기업 생존 비결은]현대차, 제조업 틀 깨고 모빌리티솔루션기업 전환#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010683762
10#,[뉴스 경제]#,"""대박 노리다 물렸다""…따상의 허상#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005019758
11#,[뉴스 IT/과학]#,"게임 ‘신데렐라법’ 10년 만에 폐지, 확률형 아이템은 규제#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=025&aid=0003129661
12#,[뉴스 IT/과학]#,강철보다 200배 강한 그래핀…'무결점 버전' 나왔다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=079&aid=0003545667
13#,[뉴스 IT/과학]#,"[지금은 과학] ""역사상 가장 완벽한 그래핀이 탄생했다""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000620527
14#,[뉴스 IT/과학]#,"국내 연구진, 주름 전혀 없는 '무결점 그래핀'을 세계 최초 개발#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=584&aid=0000015696
15#,[뉴스 IT/과학]#,"IBS, 꿈의 신소재 '무결점 그래핀' 세계 최초 제작#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=469&aid=0000625849
16#,[뉴스 CNBC]#,Delta is raising health insurance premiums for unvaccinated employees by $200 a month#,https://www.cnbc.com/2021/08/25/delta-air-lines-unvaccinated-employees-will-face-200-fees-if-they-dont-get-covid-vaccine.html
17#,[뉴스 CNBC]#,OnlyFans says it will no longer ban porn in stunning U-turn after user backlash#,https://www.cnbc.com/2021/08/25/onlyfans-says-it-will-no-longer-ban-porn-after-backlash-from-users.html
18#,[뉴스 CNBC]#,"A longevity expert shares the 'non-negotiable' diet, exercise and sleep rules he lives by for a longer life#",https://www.cnbc.com/2021/08/25/longevity-expert-shares-his-non-negotiable-diet-sleep-exercising-rules-for-a-longer-healthier-life.html
19#,[뉴스 CNBC]#,The economy could be getting help from positive news on the delta variant#,https://www.cnbc.com/2021/08/24/the-economy-could-be-getting-help-from-positive-news-on-the-delta-variant.html
20#,[뉴스 CNBC]#,"How much money you'd have if you invested $1,000 in the tech giant the day Tim Cook took over#",https://www.cnbc.com/2021/08/24/how-much-apple-stock-has-grown-since-tim-cook-became-ceo-in-2011.html
20#,[경제 환율]#,"1,167.50@0.00(0.00%) 변화없음"
21#,[경제 나스닥]#,"15,037.70@17.90(+0.12%) 상승"
22#,[경제 SP]#,"4,500.57@14.34(+0.32%) 상승"
