N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 05일 (Thu)
1#,[뉴스 정치]#,"최재형 ""이 정부 반대로만 하면 부동산 풀린다""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002517623
2#,[뉴스 정치]#,"""안산·김연아·BTS 공통점은 '문파'""…도 넘은 대선 경선 홍보물 '눈살'#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=277&aid=0004948904
3#,[뉴스 정치]#,"윤석열, '주120시간 노동'·'부정식품' 잇단 설화에 김재원 ""여의도 문법 익히는 중""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=011&aid=0003946067
4#,[뉴스 정치]#,‘말바꾸기’‘음주운전’ 네거티브 직접 뛰어든 이재명·이낙연#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003124345
5#,[뉴스 정치]#,이재명 '재난지원금 100% 지급 논란'…MZ세대 생각은?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=629&aid=0000098929
6#,[뉴스 경제]#,"돈 몰려온다, ETF ‘1조 공룡’만 15개#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003124368
7#,[뉴스 경제]#,"문 대통령 “계산 다시” 지시하자, 태양광 비중 2.9→11.1% 껑충#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003124339
8#,[뉴스 경제]#,"박철완, 세 누나의 화려한 혼맥…우호 세력 될까?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=629&aid=0000098930
9#,[뉴스 경제]#,역대급 '깜짝실적'에도 주식시장은 둔감…돌파구는?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005003270
10#,[뉴스 경제]#,태양광 피크타임에 11% 기여…들쑥날쑥 발전량은 과제#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=214&aid=0001140082
11#,[뉴스 IT/과학]#,액체금속 전자구조 첫 측정.. '상온초전도' 개발 초읽기#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=079&aid=0003538062
12#,[뉴스 IT/과학]#,"한국 과학자, 세계 최초로 액체 금속 로봇의 '전자 구조' 측정 성공#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=469&aid=0000621858
13#,[뉴스 IT/과학]#,노벨상 수상자 예측 '액체 금속 전자 구조' 한국 물리학자들이 찾았다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=584&aid=0000015415
14#,[뉴스 IT/과학]#,“오래 전 책장에 꽂아둔 고서가 연구의 실마리가 됐어요”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=028&aid=0002555460
15#,[뉴스 IT/과학]#,이론상 존재하던 액체금속 전자구조 반세기만에 밝혀냈다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=001&aid=0012578649
16#,[뉴스 CNBC]#,WHO asks wealthy nations to hold off on Covid vaccine boosters at least through September#,https://www.cnbc.com/2021/08/04/who-calls-for-moratorium-on-covid-vaccine-boosters-at-least-through-september.html
17#,[뉴스 CNBC]#,Trump asks judge to block release of tax returns to Congress after Biden DOJ orders IRS to send them#,https://www.cnbc.com/2021/08/04/trump-asks-judge-to-block-tax-returns-release-to-congress-after-doj-order.html
18#,[뉴스 CNBC]#,Target to pay 100% of college tuition and textbooks in bid to attract workers#,https://www.cnbc.com/2021/08/04/target-rolls-out-debt-free-college-degrees-to-woo-retail-workers.html
19#,[뉴스 CNBC]#,Robinhood surges as much as 81% in second day of wild trading#,https://www.cnbc.com/2021/08/04/robinhood-surges-another-13percent-a-day-after-jumping-past-ipo-price.html
20#,[뉴스 CNBC]#,CDC bans evictions for another two months#,https://www.cnbc.com/2021/08/03/cdc-to-issue-new-eviction-ban-effective-through-october-3.html
20#,[경제 환율]#,"1,144.00@4.50(-0.39%) 하락"
21#,[경제 나스닥]#,"14,746.56@14.74(-0.10%) 하락"
22#,[경제 SP]#,"4,402.69@20.46(-0.46%) 하락"
