N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 25일 (Wed)
1#,[뉴스 정치]#,"""쟤가 몇 명을 날린 킬러""...악의적 2차 가해로 괴롭혀#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001631588
2#,[뉴스 정치]#,"與 ""사찰문건 더 나올 것"" vs 野 ""신종 정치개입""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001631586
3#,[뉴스 정치]#,"윤석열 27.7%, 이재명 26.7%… ‘이준석과 샅바싸움’에도 尹 지지율 상승#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003613010
4#,[뉴스 정치]#,"부동산 의혹 받는 윤희숙, 의원직 사퇴 초강수 두나#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=011&aid=0003953976
5#,[뉴스 정치]#,"귀막은 민주당, '언론재갈법' 강행 태세…대선 이슈로 급부상#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002523583
6#,[뉴스 경제]#,"LG화학, 배터리 대장주 위태…""신뢰 하락"" vs ""매수 기회""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005018880
7#,[뉴스 경제]#,‘반값 복비’라서 좋았는데… 작년보다 많은 곳 속출#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001466269
8#,[뉴스 경제]#,[View & Review] 세게 더 세게…내성만 키운 부동산 ‘특단의 대책’#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003129334
9#,[뉴스 경제]#,"꿈쩍않던 LNG선 가격 120억 뛰었다, 저가 수주 탈출 청신호#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003129328
10#,[뉴스 경제]#,"팬데믹·올림픽 쌍끌이…LG전자, 글로벌 OLED TV 점유율 62%#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003129332
11#,[뉴스 IT/과학]#,"구글·애플, 美정부에 한국 '인앱결제법' 저지 촉구#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002231564
12#,[뉴스 IT/과학]#,“이러니 확진자가 안 줄지” 4단계 거리두기 ‘허탕’인 이유는?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001878474
13#,[뉴스 IT/과학]#,"엉금엉금 기어서 '콱'…""초식 지겨워"" 아기새 잡아먹는 거북이 [영상]#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=025&aid=0003129265
14#,[뉴스 IT/과학]#,‘롤러블+폴더블’…접고 말 수 있는 삼성폰 나온다?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001878471
15#,[뉴스 IT/과학]#,삼성 갤Z폴드3 플립3 대박 이어갈까…애플 아이폰13 내달 나온다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=009&aid=0004842699
16#,[뉴스 CNBC]#,"Taliban will no longer allow Afghans to go to Kabul airport for evacuation, spokesman says#",https://www.cnbc.com/2021/08/24/taliban-will-no-longer-allow-afghans-to-go-to-kabul-airport-for-evacuation.html
17#,[뉴스 CNBC]#,Coinbase slammed for what users say is terrible customer service after hackers drain their accounts#,https://www.cnbc.com/2021/08/24/coinbase-slammed-for-terrible-customer-service-after-hackers-drain-user-accounts.html
18#,[뉴스 CNBC]#,Why a bigger Social Security check in 2022 might not boost retirees' budgets#,https://www.cnbc.com/2021/08/24/a-bigger-social-security-cola-in-2022-may-not-boost-retiree-budgets.html
19#,[뉴스 CNBC]#,Passenger dies of Covid amid outbreak on a Carnival cruise ship#,https://www.cnbc.com/2021/08/24/passenger-dies-of-covid-19-amid-outbreak-on-carnival-cruise-ship.html
20#,[뉴스 CNBC]#,House delays vote to advance Biden’s economic agenda as centrist Democrats derail Pelosi’s plans#,https://www.cnbc.com/2021/08/24/house-delays-vote-on-infrastructure-budget-plans.html
20#,[경제 환율]#,"1,167.50@4.50(-0.38%) 하락"
21#,[경제 나스닥]#,"14,993.74@51.09(+0.34%) 상승"
22#,[경제 SP]#,"4,488.00@8.47(+0.19%) 상승"
