N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 17일 (Tue)
1#,[뉴스 정치]#,"황교익 여진, 與 흔든다…""경기맛집공사"" vs ""여행 절반은 먹는 것""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002520892
2#,[뉴스 정치]#,고정지지층 붙잡고 몸값 올리기… 안철수 독자노선 선언#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=005&aid=0001464617
3#,[뉴스 정치]#,"중동서 발 빼 중국 압박…바이든 외교, 동맹이라도 손절한다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003127076
4#,[뉴스 정치]#,"안철수 vs 이준석 합당 결렬에 ""예견된 일"" ""양측 정치력 부재""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=015&aid=0004592374
5#,[뉴스 정치]#,"“기본소득, 당장 국가정책으론 위험” 친문 21명, 이재명에 끝장토론 제안#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003127078
6#,[뉴스 경제]#,"[현명한 금융생활 꿀팁]10대 울리는 1,000% 고금리 사채 금감원 불법금융 거래 주의 당부#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=087&aid=0000856452
7#,[뉴스 경제]#,"장기집권 노리는 시진핑…""독과점 이슈 기업 투자주의보""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005012296
8#,[뉴스 경제]#,'베팅' 김병주 VS '보류' 손정의…中 투자 누가 웃을까#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005012295
9#,[뉴스 경제]#,"'시진핑 리스크' 피해 한국 눈독…""제2의 쿠팡 찾기""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005012294
10#,[뉴스 경제]#,"[단독] 위기의 LH, 젊은 직원들 떠난다… 퇴직금만 136억#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001464616
11#,[뉴스 IT/과학]#,"'한정판' 로또? ""톰브라운 갤폴드3 800만원에 팝니다"" 올렸더니…#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004631685
12#,[뉴스 IT/과학]#,"삼성, 전력 25% 절감 ‘에코 OLED’ 개발#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003092168
13#,[뉴스 IT/과학]#,얼마나 쉴지…뇌는 알고 있다 [신경과학 저널클럽]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003092155
14#,[뉴스 IT/과학]#,‘삼성 턱밑 추격 샤오미’…한국에서도 통할까#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001874952
15#,[뉴스 IT/과학]#,"올해만 주가 4배... 모더나, 더가나 못가나#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=023&aid=0003634026
16#,[뉴스 CNBC]#,"Biden will give a speech on the Afghanistan collapse Monday afternoon, White House says#",https://www.cnbc.com/2021/08/16/biden-will-give-a-speech-on-the-afghanistan-collapse-monday-afternoon-white-house-says.html
17#,[뉴스 CNBC]#,Chaotic scenes at Kabul airport as Afghans and foreign nationals flee Taliban#,https://www.cnbc.com/2021/08/16/chaotic-scenes-at-kabul-airport-as-afghans-flee-taliban.html
18#,[뉴스 CNBC]#,"Here's a sample budget for someone making $35,000 per year#",https://www.cnbc.com/2021/08/15/how-to-make-a-simple-budget-to-save-money-and-pay-bills.html
19#,[뉴스 CNBC]#,Tesla shares fall after U.S. regulators launch formal investigation into Autopilot system#,https://www.cnbc.com/2021/08/16/nhtsa-launches-investigation-into-tesla-autopilot-crashes-.html
20#,[뉴스 CNBC]#,Michael Burry of ‘The Big Short’ reveals a bet against Cathie Wood's ARK Innovation ETF#,https://www.cnbc.com/2021/08/16/michael-burry-of-the-big-short-reveals-a-bet-against-cathie-woods-ark-innovation-etf.html
20#,[경제 환율]#,"1,169.00@5.50(+0.47%) 상승"
21#,[경제 나스닥]#,"14,656.66@166.24(-1.12%) 하락"
22#,[경제 SP]#,"4,451.46@16.54(-0.37%) 하락"
