N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 12일 (Thu)
1#,[뉴스 정치]#,"민주 '언론장악법' 으름장에…국민의힘 ""전국민적 저항에 부딪힐 것""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002519727
2#,[뉴스 정치]#,이준석의 ‘5%P 필패론’은 2030세대 존재감 과시용#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=005&aid=0001463780
3#,[뉴스 정치]#,"윤석열 “갈등없다”한 날, 이준석 “윤 되면 지구 뜰것” 영상 돌아#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003126028
4#,[뉴스 정치]#,북한 김영철 “엄청난 안보위기” 협박…무력시위 나서나#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003126030
5#,[뉴스 정치]#,"2000명대 깨진 날, 문 대통령 “세계적 현상…우린 나은 편”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003126035
6#,[뉴스 경제]#,"지급대상만 100만명… 소상공인 손실보상, 논의 시작#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001463783
7#,[뉴스 경제]#,홍남기 “남양주 군부대 이전부지에 주택 3200가구 공급”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003126021
8#,[뉴스 경제]#,"오후 3시 태양광발전량, 5시엔 60%로…한국도 ‘오리커브의 덫’ 걸리나#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003126032
9#,[뉴스 경제]#,美인플레 '13년來' 최고...그래도 증시 '최고치↑' 이유는#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=008&aid=0004629929
10#,[뉴스 경제]#,저평가 분석에 에코프로·에이치엔 `급등`…지분 스왑 어떻게?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005008472
11#,[뉴스 IT/과학]#,“이래도 안사?” 삼성 역대급 폴더블폰 드디어 나왔다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001873533
12#,[뉴스 IT/과학]#,"""어라, 카메라 구멍 어딨지?""…삼성의 '갤폴드3' 승부수#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004590774
13#,[뉴스 IT/과학]#,"'두뇌' 바꾼 갤럭시워치4, 속도 30%↑…갤럭시버즈2는 가격 확 낮춰#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004590772
14#,[뉴스 IT/과학]#,"[이슈분석]갤럭시Z 폴드3, 카메라 숨기고 필기 입력까지... '완성형' 폴더블 제시#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=030&aid=0002962566
15#,[뉴스 IT/과학]#,"[이슈분석]갤럭시워치4, 체성분 측정으로 골격근량·체지방률까지 확인#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=030&aid=0002962564
16#,[뉴스 CNBC]#,"Parents who raise 'smart, well-rounded' kids always avoid these 4 phrases, says tech education expert#",https://www.cnbc.com/2021/08/09/parents-of-smart-well-rounded-kids-never-say-these-phrases-according-to-tech-education-expert.html
17#,[뉴스 CNBC]#,Florida hospitals are overrun as state fights one of the worst Covid outbreaks in the U.S.#,https://www.cnbc.com/2021/08/11/florida-hospitals-are-overrun-as-state-fights-one-of-the-worst-covid-outbreaks-in-the-us-.html
18#,[뉴스 CNBC]#,"5 obvious things 'too many people' forget to do before job interviews, according to CEO of 10 years#",https://www.cnbc.com/2021/08/10/too-many-people-forget-to-do-these-5-obvious-things-before-the-job-interview-says-hiring-ceo.html
19#,[뉴스 CNBC]#,"July consumer prices jump 5.4%, but core inflation rises less than expected#",https://www.cnbc.com/2021/08/11/cpi-report-july-2021.html
20#,[뉴스 CNBC]#,PSG president says world will be 'shocked' by revenues from Messi signing#,https://www.cnbc.com/2021/08/11/messi-psg-president-says-world-will-be-shocked-by-revenues.html
20#,[경제 환율]#,"1,157.00@6.00(+0.52%) 상승"
21#,[경제 나스닥]#,"14,718.77@69.32(-0.47%) 하락"
22#,[경제 SP]#,"4,440.61@3.86(+0.09%) 상승"
