N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 09월 04일 (Sat)
1#,[뉴스 정치]#,과반이냐 반전이냐…與 내일 대전·충남경선 첫 개표#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=422&aid=0000502914
2#,[뉴스 정치]#,"홍준표 선대위원장 조경태 ""尹 의혹 제기 자제했으면""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=003&aid=0010701517
3#,[뉴스 정치]#,"박성준, ‘GSGG’ 김승원 옹호 “욕한 것 아냐, 점잖고 바른 정치인”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003616307
4#,[뉴스 정치]#,"추미애 '尹부부와 공작 모의' 발언에 한동훈 ""망상…안타깝다""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=088&aid=0000719672
5#,[뉴스 정치]#,"이재명 ""억울한 건 없지만...'형수 욕설' 이야기 가장 아프다""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=008&aid=0004640648
6#,[뉴스 경제]#,예기치 못한 미국 '고용 쇼크'…연준 테이퍼링 차질 빚나(종합)#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005028088
7#,[뉴스 경제]#,전세 물량 줄고 수요는 늘고...가을 이사철 전세대란 우려#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=052&aid=0001636032
8#,[뉴스 경제]#,8월 고용보고서 충격···3대지수 하락 출발 [뉴욕증시 나우]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=215&aid=0000982581
9#,[뉴스 경제]#,"정용진이 고른 ‘YJ 박스’, 12시간만에 품절… 내용물 보니#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=023&aid=0003638146
10#,[뉴스 경제]#,'MZ 개미' 늘며 세이브로 접속량 30% 쑥···해외주식·공매도 정보 '광클'#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=011&aid=0003958435
11#,[뉴스 IT/과학]#,[영상] “웃다가도 사람 보면 정지” 밥집 누비는 ‘로봇의 민족’#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001883233
12#,[뉴스 IT/과학]#,"[리뷰] 휴대성과 성능을 동시에, 에이수스의 ROG 제피러스 G14 GA401 게이밍 노트북#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=020&aid=0003380122
13#,[뉴스 IT/과학]#,마약법 제정 50년 만에…국내서 대마 ‘합법’ 수확한다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=243&aid=0000015909
14#,[뉴스 IT/과학]#,"“아이폰보다 잘 나간다”…삼성 폴더블폰, 없어서 못 판다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001883230
15#,[뉴스 IT/과학]#,"보령·한미·셀트리온, 제약·바이오 젊은 사령탑…‘차세대 분야’ 격돌 예고#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=243&aid=0000015908
16#,[뉴스 CNBC]#,Here are the three worst states for retirement in 2021#,https://www.cnbc.com/2021/09/02/the-best-and-worst-states-to-retire-in-for-2021.html
17#,[뉴스 CNBC]#,"Jobs report disappoints — only 235,000 positions added vs. expectations of 720,000#",https://www.cnbc.com/2021/09/03/jobs-report-august-2021.html
18#,[뉴스 CNBC]#,Retiring GOP Sen. Toomey says Trump should not lead ticket in 2024#,https://www.cnbc.com/2021/09/03/trump-should-not-lead-gop-ticket-in-2024-retiring-sen-pat-toomey-says.html
19#,[뉴스 CNBC]#,"For many workers, the return to offices has become 'The Great Wait.' It's costing employers millions#",https://www.cnbc.com/2021/09/02/return-to-office-is-now-the-great-wait-and-costing-employers-millions.html
20#,[뉴스 CNBC]#,"Dr. Gottlieb says Northeast has yet to see 'true delta wave,' expects another Covid case spike#",https://www.cnbc.com/2021/09/03/covid-cases-dr-scott-gottlieb-says-northeast-has-yet-to-see-true-delta-wave.html
20#,[경제 환율]#,"1,157.00@2.00(-0.17%) 하락"
21#,[경제 나스닥]#,"15,336.07@4.89(+0.03%) 상승"
22#,[경제 SP]#,"4,530.15@6.80(-0.15%) 하락"
