N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 09월 20일 (Mon)
1#,[뉴스 정치]#,'너는 누구 팬이야?'…정치인 '팬덤'의 명과암#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=629&aid=0000106907
2#,[뉴스 정치]#,[인물탐구-윤석열] 文정부 대립각·강직함…여러 의혹 '걸림돌'#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=629&aid=0000106906
3#,[뉴스 정치]#,서울역서 고향길 배웅 인사 나선 尹·崔…尹은 귀성객에게 큰절 받아 ‘눈길’#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003621272
4#,[뉴스 정치]#,"안철수, 보건소서 코로나19 의료 봉사...명절 뒤 행보 주목#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=014&aid=0004711563
5#,[뉴스 정치]#,"“이재명 계속 오리발 내밀면 특검”…국힘, 대장동 의혹 압박(종합)#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=081&aid=0003217247
6#,[뉴스 경제]#,가을 장마에 태풍까지…제주 농민 ‘시름’#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011123531
7#,[뉴스 경제]#,"""내 몫은 왜 없나"" 명절 전후 늘어나는 상속·유산 분쟁#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=277&aid=0004971921
8#,[뉴스 경제]#,'초단기 알바' 사상 최대...'청년 폐업'은 급증#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=052&aid=0001642534
9#,[뉴스 경제]#,"'잘못 거둔 세금' 1조 8,000억...산업부 산하 벌칙성 부과금 1,100억#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=052&aid=0001642533
10#,[뉴스 경제]#,"부동산 대책 또 장고 뒤 악수되나…중대형 오피스텔 바닥난방 허용, 전문가 ""글쎄"" 이유는?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=009&aid=0004854571
11#,[뉴스 IT/과학]#,"""불법 사이트 뚫린다?""…통신사가 쓰지 말라는 '애플 신기능' 뭐길래#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004606667
12#,[뉴스 IT/과학]#,“학대 사건 막고 싶었어요”…10대들이 꿈꾸는 AI 세계#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=056&aid=0011123499
13#,[뉴스 IT/과학]#,"한가위 맞이 풍성한 게임 이벤트…""이번 추석엔 너로 정했다""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004606663
14#,[뉴스 IT/과학]#,“자기 전에 스마트폰 자주 보세요?” 건강에 무슨 문제가…#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001889716
15#,[뉴스 IT/과학]#,"""240조 시장 잡을 기회""…해외시장 공략 나서는 한국 게임#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004606653
16#,[뉴스 CNBC]#,The 10 fastest-growing jobs of the next decade—and how much they pay#,https://www.cnbc.com/2021/09/17/the-10-fastest-growing-jobs-of-the-next-decadeand-how-much-they-pay.html
17#,[뉴스 CNBC]#,"Fauci defends FDA panel, says it didn't make a mistake rejecting booster Covid shots for all Americans#",https://www.cnbc.com/2021/09/19/fauci-defends-fda-panel-decision-to-reject-third-doses-for-all-americans.html
18#,[뉴스 CNBC]#,Op-ed: Will China's President Xi’s big bet pay off?#,https://www.cnbc.com/2021/09/19/op-ed-will-chinas-president-xis-big-bet-pay-off.html
19#,[뉴스 CNBC]#,"Here's how much money you should have in your retirement accounts by age 30, 40, 50 and beyond#",https://www.cnbc.com/2021/09/14/how-much-money-you-should-have-in-your-retirement-accounts-by-current-age.html
20#,[뉴스 CNBC]#,"Elon Musk pledges $50 million to Inspiration4 fundraiser for St. Jude, exceeding $200 million goal#",https://www.cnbc.com/2021/09/18/elon-musk-pledges-50-million-to-inspiration4-fundraiser-for-st-jude.html
20#,[경제 환율]#,"1,178.50@5.00(+0.43%) 상승"
21#,[경제 나스닥]#,"15,043.97@137.95(-0.91%) 하락"
22#,[경제 SP]#,"4,432.99@40.76(-0.91%) 하락"
