N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 08일 (Sun)
1#,[뉴스 정치]#,'젠더 갈등' 부추기는 정치인들의 끝없는 설전#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=629&aid=0000099408
2#,[뉴스 정치]#,"[취재석] '지사직 사수' 이재명, 왜 '연차 사용'은 숨기나#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=629&aid=0000099407
3#,[뉴스 정치]#,"'당 행사 보이콧 논란'…윤석열측·이준석, 깊어진 감정의 골#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002518409
4#,[뉴스 정치]#,최재형 응원하다 눈물 보인 아내 “이제는 내가 도울 차례” [영상]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=023&aid=0003632247
5#,[뉴스 정치]#,"[국정농담] 文 퇴임 사저 경호 증원, 朴·MB 사면도 염두 뒀나#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=011&aid=0003947155
6#,[뉴스 경제]#,3분기 車반도체 회복된다고 했지만…'인기차 출고' 여전히 반년 이상#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=277&aid=0004950224
7#,[뉴스 경제]#,제975회 로또 1등 9명→24억씩…7명 자동선택(종합)#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010652880
8#,[뉴스 경제]#,5배 오른다? 이더리움 '런던 하드포크' 대체 뭐길래 [코인노트]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=009&aid=0004835157
9#,[뉴스 경제]#,한 판 '1만 원'까지…수입 달걀로 가격 잡힐까?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=214&aid=0001140544
10#,[뉴스 경제]#,"""배그 하나로 되겠어?""…상장 앞둔 크래프톤 비밀병기 있다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=009&aid=0004835153
11#,[뉴스 IT/과학]#,우리 몸은 죽음 10년전부터 이런 신호 보낸다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004627855
12#,[뉴스 IT/과학]#,“할아버지가 커피 받아갔는데…”  난감한 어르신 배달 ‘어쩌나’#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001871788
13#,[뉴스 IT/과학]#,"""추억의 쿼티자판""…블랙베리 스마트폰 다시 출시될까 [배성수의 다다IT선]#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004588838
14#,[뉴스 IT/과학]#,정부가 직계약한 모더나 백신 130만3000회분 인천공항 도착#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=366&aid=0000752680
15#,[뉴스 IT/과학]#,“네이버도 반했다” 여심 저격 6천억 ‘잭팟’ 동대문 오뚝이#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001871777
16#,[뉴스 CNBC]#,This 65-year-old retiree just moved to a $420 per month apartment in Mexico by the beach—take a look#,https://www.cnbc.com/2021/08/07/this-65-year-old-retiree-just-moved-to-a-420-a-month-apartment-in-mexico-by-the-beach-see-photos.html
17#,[뉴스 CNBC]#,How the outlook for Social Security benefits changed amid the pandemic#,https://www.cnbc.com/2021/08/06/how-the-outlook-for-social-security-benefits-changed-amid-the-pandemic.html
18#,[뉴스 CNBC]#,"Berkshire Hathaway's operating earnings jump 21% as recovering economy boosts railroad, energy units#",https://www.cnbc.com/2021/08/07/berkshire-hathaway-brk-earnings-q2-2021.html
19#,[뉴스 CNBC]#,Warren Buffett’s winning equity portfolio is concentrated in just 4 stocks. Here’s what they are#,https://www.cnbc.com/2021/08/07/warren-buffetts-winning-equity-portfolio-is-concentrated-in-just-4-stocks-heres-what-they-are.html
20#,[뉴스 CNBC]#,Could pandemic unemployment be extended beyond Labor Day? What experts are saying#,https://www.cnbc.com/2021/08/06/could-pandemic-unemployment-be-extended-beyond-labor-day-what-to-know.html
20#,[경제 환율]#,"1,146.00@2.50(+0.22%) 상승"
21#,[경제 나스닥]#,"14,835.76@59.36(-0.40%) 하락"
22#,[경제 SP]#,"4,436.52@7.42(+0.17%) 상승"
