N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 10일 (Tue)
1#,[뉴스 정치]#,"윤석열 지지율 하락세, 후쿠시마 실언·이준석과 갈등 탓?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003125438
2#,[뉴스 정치]#,"재계 “제약많은 가석방 아쉬워, 경영활동 최대한 배려를”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003125439
3#,[뉴스 정치]#,[유용원의 밀리터리 시크릿] 文정권에 어른거리는 ‘유화정책 루저’ 체임벌린의 망령#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=023&aid=0003632568
4#,[뉴스 정치]#,"'패싱 입당' 이어 '보이콧 논란'까지…이준석 vs 윤석열, 힘겨루기 지속#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=629&aid=0000099703
5#,[뉴스 정치]#,"[빅뉴스] 청와대 “두 전직 대통령 광복절 사면, 물리적으로 시간 부족”…“중고 냉장고 안에서 1억 천만 원 돈뭉치 발견” 경찰 신고#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=056&aid=0011098326
6#,[뉴스 경제]#,"“부동산 거품, 커져도 꺼져도 문제…코로나 포퓰리즘이 위기 더 키워”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003125457
7#,[뉴스 경제]#,"카카오뱅크, 공모가 2배 넘었다…셀트리온·기아 추월 시총 9위#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003125462
8#,[뉴스 경제]#,"‘세계의 공장’ 중국 생산자물가 급등, 글로벌 인플레 압박#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003125425
9#,[뉴스 경제]#,"‘잃어버린 초격차’ 삼성전자, 투자시계 빨라진다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003125441
10#,[뉴스 경제]#,청약 첫 날 롯데렌탈 '미지근'·아주스틸 '후끈'…오늘 어디에 몰릴까?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=629&aid=0000099702
11#,[뉴스 IT/과학]#,[영상] “순식간에 사라진 영상”…삼성 야심작 폴더블폰 진짜 이것!#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001872455
12#,[뉴스 IT/과학]#,[현장] 18~49세 코로나19 백신 예약 첫날…약간의 지연 있었지만 '원활'#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=138&aid=0002108368
13#,[뉴스 IT/과학]#,애플 삼성전자 제친 샤오미 독해졌다…갤럭시 언팩 하루 전날 신제품 기습공개#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=009&aid=0004836003
14#,[뉴스 IT/과학]#,삼성 신형 폴더블폰 다 샜는데…신형 아이폰은?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001872452
15#,[뉴스 IT/과학]#,"[이준기의 D사이언스] 안전성 높인 전고체 전지 5년만에 결실… ""K-배터리 위상 높일 것""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=029&aid=0002691381
16#,[뉴스 CNBC]#,"The world is nowhere near the end of the pandemic, says famed epidemiologist Larry Brilliant#",https://www.cnbc.com/2021/08/09/covid-epidemiologist-larry-brilliant-on-delta-variant-vaccinations.html
17#,[뉴스 CNBC]#,This 65-year-old retiree just moved to a $420 per month apartment in Mexico by the beach — take a look#,https://www.cnbc.com/2021/08/07/this-65-year-old-retiree-just-moved-to-a-420-a-month-apartment-in-mexico-by-the-beach-see-photos.html
18#,[뉴스 CNBC]#,Messi receives formal two-year offer from PSG#,https://www.cnbc.com/2021/08/09/lionel-messi-receives-formal-psg-two-year-contract-offer-after-barcelona-exit.html
19#,[뉴스 CNBC]#,Photos show devastating wildfires in Greece#,https://www.cnbc.com/2021/08/09/photos-show-devastating-wildfires-in-greece.html
20#,[뉴스 CNBC]#,Here’s how much workers say they will need to feel financially secure in retirement#,https://www.cnbc.com/2021/08/09/how-much-workers-need-to-save-to-feel-secure-in-retirement.html
20#,[경제 환율]#,"1,146.00@0.00(0.00%) 변화없음"
21#,[경제 나스닥]#,"14,850.09@14.33(+0.10%) 상승"
22#,[경제 SP]#,"4,429.17@7.35(-0.17%) 하락"
