N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 27일 (Fri)
1#,[뉴스 정치]#,"尹 ""軍 기강해이 참담""…劉 ""TK, 진심 알아줄 것""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=422&aid=0000501827
2#,[뉴스 정치]#,"[영상] 윤희숙 ""저 자신을 고발한다. 무혐의 땐 이재명 정치 떠나라""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=421&aid=0005568141
3#,[뉴스 정치]#,“한강 빠져 죽은 한남”…故 성재기 능욕한 여성의당 소속 김주희 해일 대표#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=029&aid=0002694122
4#,[뉴스 정치]#,"추미애 “윤석열, 꿈에 내가 나오는지 시끄러운 얘기만”… 진중권 “尹은 감사해할 것”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003614159
5#,[뉴스 정치]#,남은 13명도 무사히 도착...한때 버스에 15시간 갇혀#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001633078
6#,[뉴스 경제]#,5대 은행 신용대출 '연봉 이내'로 규제...'대출절벽' 현실화#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=052&aid=0001633092
7#,[뉴스 경제]#,많이 잡혀도 고민…청어 ‘처리난’#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011109819
8#,[뉴스 경제]#,한국 첫 수출 'UAE 원전 2호기'도 최초임계 도달#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=001&aid=0012626532
9#,[뉴스 경제]#,문을 못 여니…재활용센터 꽉 차도 찾는 사람 없어요#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011109756
10#,[뉴스 경제]#,[부동산 영끌의 종말①]이자부담 커졌는데…영끌족 어쩌나#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010688291
11#,[뉴스 IT/과학]#,“폴더블아니라서 헐값?” 갤S20 울트라 “159만→40만원”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001880060
12#,[뉴스 IT/과학]#,UAE 원전 2호기도 최초 임계 성공적 도달#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002231988
13#,[뉴스 IT/과학]#,"‘이것’ 가진 사람, 아이폰·애플워치 사용하면 큰일난다?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001880055
14#,[뉴스 IT/과학]#,"""샤오미 안방인 인도에서도 뜨거운 반응"" 갤럭시 Z 폴드3·플립3 글로벌 흥행 조짐#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=011&aid=0003955438
15#,[뉴스 IT/과학]#,NC소트프 기대작 ‘블레이드&소울2’ 첫날 반응 ‘시큰둥’…주가 15.29%나 급락#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=022&aid=0003614149
16#,[뉴스 CNBC]#,"Education Department will cancel student debt for 115,000 borrowers#",https://www.cnbc.com/2021/08/26/education-department-will-cancel-student-debt-for-115000-borrowers-.html
17#,[뉴스 CNBC]#,"Fed is stoking real estate price bubble that will wipe out home equity, investor Peter Boockvar warns#",https://www.cnbc.com/2021/08/27/housing-price-bubble-will-wipe-out-wealth-peter-boockvar-warns.html
18#,[뉴스 CNBC]#,Stocks open slightly higher ahead of Fed Chair Powell's speech#,https://www.cnbc.com/2021/08/26/stock-market-futures-open-to-close-news.html
19#,[뉴스 CNBC]#,"This 12-year-old coder is set to earn over $400,000 after about 2 months selling NFTs#",https://www.cnbc.com/2021/08/25/12-year-old-coder-made-6-figures-selling-weird-whales-nfts.html
20#,[뉴스 CNBC]#,Key inflation gauge rises 3.6% from a year ago to tie biggest jump since the early 1990s#,https://www.cnbc.com/2021/08/27/key-inflation-gauge-rises-3point6percent-from-a-year-ago-to-tie-biggest-jump-since-the-early-1990s.html
20#,[경제 환율]#,"1,170.00@0.50(-0.04%) 하락"
21#,[경제 나스닥]#,"14,982.94@37.13(+0.25%) 상승"
22#,[경제 SP]#,"4,481.17@11.17(+0.25%) 상승"
