N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 09월 19일 (Sun)
1#,[뉴스 정치]#,'염색·안경·넥타이' 대선주자들의 스타일 대결#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=629&aid=0000106854
2#,[뉴스 정치]#,민주당 경선 막판 '지지 선언'도 명낙대전#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=629&aid=0000106853
3#,[뉴스 정치]#,"이준석, '1원도 안 받아' 이재명에 ""이런 논리면 박근혜도 안 받아""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=014&aid=0004711326
4#,[뉴스 정치]#,“미안하고 죄송합니다”…자영업자 합동분향소에 윤석열이 남긴 말#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=366&aid=0000761879
5#,[뉴스 정치]#,북한 최고 인기배우는 현빈?…북한 10대 5년 징역#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=081&aid=0003217155
6#,[뉴스 경제]#,아파트보다 비싸진 오피스텔·도생…규제의 역설#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=277&aid=0004971751
7#,[뉴스 경제]#,배민·쿠팡發 즉시 배달 경쟁에 골목상권 소상공인 '반발'#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=052&aid=0001642293
8#,[뉴스 경제]#,"15년 전엔 허허벌판…이젠 ""오늘의 호가, 내일의 실거래가"" 바이오 천지개벽 송도 [르포]#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=009&aid=0004854415
9#,[뉴스 경제]#,"엔지켐생명과학, 3200억원 규모 주주배정 일반공모 진행#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=014&aid=0004711307
10#,[뉴스 경제]#,주식투자로 돈 벌어 집 산 2030 코로나 전보다 3.3배 늘어#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=081&aid=0003217153
11#,[뉴스 IT/과학]#,보이저엑스 남세동 “좋은 회사 많아지면 좋은 AI 서비스도 많아져요”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=028&aid=0002561009
12#,[뉴스 IT/과학]#,봉이 김선달은 억울하다? [물에 관한 알쓸신잡]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=018&aid=0005041118
13#,[뉴스 IT/과학]#,"[영상] “안 접는거야, 못 접는거야” 아이폰 폴더블, 언제 나와?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001889584
14#,[뉴스 IT/과학]#,“실제 옷도 아닌데 한달 1500만원 번다” 이게 정말 가능?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001889575
15#,[뉴스 IT/과학]#,“추석엔 여행 가서 마음 챙기며 쉴까요”...정신건강관리앱 전성시대#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=023&aid=0003641370
16#,[뉴스 CNBC]#,"Fed Chief Powell, other officials owned securities central bank bought during Covid pandemic#",https://www.cnbc.com/2021/09/17/fed-officials-owned-securities-it-was-buying-during-pandemic-raising-more-questions-about-conflicts.html
17#,[뉴스 CNBC]#,FDA panel recommends Pfizer Covid booster doses for 65 and older after rejecting for general public#,https://www.cnbc.com/2021/09/17/fda-panel-begins-voting-on-pfizers-covid-booster-doses-rejecting-shots-for-general-public.html
18#,[뉴스 CNBC]#,"Billionaire Peter Thiel could be forced to pull $5 billion from his retirement account, if House bill passes#",https://www.cnbc.com/2021/09/17/house-tax-bill-would-likely-force-peter-thiel-to-pull-5-billion-from-his-ira.html
19#,[뉴스 CNBC]#,"Feds charge 138 people, including doctors, with $1.4 billion in health-care scams#",https://www.cnbc.com/2021/09/17/doj-charges-138-with-health-care-fraud-including-opioids-covid-telemedicine.html
20#,[뉴스 CNBC]#,Cramer likes these 10 REITs to buy as the market gets shaky#,https://www.cnbc.com/2021/09/17/cramer-likes-these-10-reits-to-buy-as-the-market-gets-shaky.html
20#,[경제 환율]#,"1,178.50@5.00(+0.43%) 상승"
21#,[경제 나스닥]#,"15,043.97@137.95(-0.91%) 하락"
22#,[경제 SP]#,"4,432.99@40.76(-0.91%) 하락"
