N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 19일 (Thu)
1#,[뉴스 정치]#,"이재명 ‘임명 부담’ 커지자…한발 뺀 황교익, 내일 거취 표명#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=028&aid=0002557318
2#,[뉴스 정치]#,"秋, '검찰개혁' 꺼낸 이낙연에 ""볼썽사나운 면피쇼…두 얼굴""(종합)#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=001&aid=0012609616
3#,[뉴스 정치]#,"윤석열 ""언론 재갈법 與 단독처리, 정권연장 위한 180석 독재 마지막 퍼즐""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=029&aid=0002692890
4#,[뉴스 정치]#,4주년 맞은 ‘국민청원’… 최다 동의 청원과 문 대통령이 직접 답변한 청원은?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003611570
5#,[뉴스 정치]#,"추미애 “두 얼굴의 이낙연, 검찰개혁 면피해 보겠다는 속내 보여”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003611568
6#,[뉴스 경제]#,"""종부세 부담 줄겠지만…집값 상승 땐 납세자 다시 늘 수도""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=009&aid=0004840738
7#,[뉴스 경제]#,최태원 정용진 재벌 인싸 회장님 엇갈린 SNS 행보 화제#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=009&aid=0004840734
8#,[뉴스 경제]#,"인텔 하이엔드 GPU 파운드리, TSMC가 가져갔다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=011&aid=0003952110
9#,[뉴스 경제]#,"비 '920억 빌딩' 대출금 묻자 ""뭘알아"" 버럭…얼마 빌렸을까#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003128056
10#,[뉴스 경제]#,탄소 감축 ‘35% 이상’으로 가닥…“기후악당국 선언” 환경단체 반발#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011104644
11#,[뉴스 IT/과학]#,"""입사지원서가 단 세줄?""…대학생 취업선호 1위 카카오 어떻게 직원 뽑나#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=009&aid=0004840735
12#,[뉴스 IT/과학]#,'그래픽카드 독주' 엔비디아에 도전장 내민 인텔…외주 물량은 TSMC에#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004593957
13#,[뉴스 IT/과학]#,"크립토아트와 메타버스의 결합, 또 다른 ‘플랫폼 노동시장’ 양산 [이광석의 디지털 이후 (33)]#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003092962
14#,[뉴스 IT/과학]#,"“아재폰 탈출, 앱 광고 삭제” 위기의 삼성, ‘애플빠’ 마음 돌릴까?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001876605
15#,[뉴스 IT/과학]#,‘르노삼성’ 역사 속으로..삼성이 지분 매각하는 까닭은?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=018&aid=0005015433
16#,[뉴스 CNBC]#,"Dow falls, commodities retreat on concern about the Fed removing stimulus#",https://www.cnbc.com/2021/08/18/stock-market-futures-open-to-close-news.html
17#,[뉴스 CNBC]#,"People who are good at small talk always avoid these 7 mistakes, says public speaking expert#",https://www.cnbc.com/2021/08/17/avoid-these-mistakes-if-you-want-to-be-good-at-small-talk-says-public-speaking-expert.html
18#,[뉴스 CNBC]#,Unemployment benefits end soon for 7.5 million Americans. These extended pandemic programs may help#,https://www.cnbc.com/2021/08/18/unemployment-benefits-for-7point5-million-end-soon-these-programs-may-help.html
19#,[뉴스 CNBC]#,"Amazon is reportedly planning to open department stores, its latest experiment in physical retail#",https://www.cnbc.com/2021/08/19/amazon-is-reportedly-planning-to-open-department-stores-.html
20#,[뉴스 CNBC]#,"Taliban's pledge of peaceful leadership is quickly coming undone amid reports of beatings, deaths#",https://www.cnbc.com/2021/08/19/talibans-pledge-of-peace-is-disintegrating-amid-reports-of-beatings-.html
20#,[경제 환율]#,"1,177.00@6.50(+0.56%) 상승"
21#,[경제 나스닥]#,"14,460.71@65.20(-0.45%) 하락"
22#,[경제 SP]#,"4,379.38@20.89(-0.47%) 하락"
