N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 09월 08일 (Wed)
1#,[뉴스 정치]#,"""'앵그리홍 재밌으신 분"" 평가한 류호정 ""홍준표 골든크로스 잠깐 가능할 듯""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=011&aid=0003959810
2#,[뉴스 정치]#,"군부 '회전문 인사' 카드 다시 꺼낸 北 김정은... ""노림수는 한미 압박""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=469&aid=0000628337
3#,[뉴스 정치]#,"이재명 직격한 홍준표 ""경기도 차베스 잡을 사람은 나""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=018&aid=0005031531
4#,[뉴스 정치]#,"김웅 날마다 바뀌는 해명, 이번엔 “제보자 누군지 안다”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003133182
5#,[뉴스 정치]#,상왕 이해찬 '윤석열 공격' 판 키우기…득일까 실일까#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002528159
6#,[뉴스 경제]#,"도요타, 세계 첫 전고체 배터리차 공개… 2030년까지 16조원 투자#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=366&aid=0000759890
7#,[뉴스 경제]#,"정의선 회장 ""수소에너지, 누구나·모든것에·어디서나""…'수소 대중화 2040' 선언#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010707434
8#,[뉴스 경제]#,"어~ 다시 오른다, 사야돼?… 비트코인 6000만원 돌파#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001469326
9#,[뉴스 경제]#,너무 잘 빠진 Z폴드3·Z플립3… 애플·샤오미·MS ‘반격’#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001469324
10#,[뉴스 경제]#,전기차도 가격파괴 시동…‘2000만원 e카 시대’ 온다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003133236
11#,[뉴스 IT/과학]#,韓 잡더니 日도 점령한 '쿠키런 킹덤'…상륙 이틀만에 1위#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=025&aid=0003133170
12#,[뉴스 IT/과학]#,“재난지원금으로 갤워치4 사자” 편의점에 삼성팬 몰리는 이유?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001884677
13#,[뉴스 IT/과학]#,"""유료방송시장 큰 정부 정책 한계 인정해야""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002233016
14#,[뉴스 IT/과학]#,“김치·단무지·양념 먹지도 않는데…” 배달 한번에 음식 쓰레기 한가득#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001884673
15#,[뉴스 IT/과학]#,반도체 고점 논란 비웃는 파운드리 초호황… 삼성전자 주가에도 볕 들까#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=469&aid=0000628313
16#,[뉴스 CNBC]#,Bitcoin tumbles 10% as El Salvador adopts it as legal tender#,https://www.cnbc.com/2021/09/07/bitcoin-retreats-from-the-highest-level-since-may-as-el-salvador-adopts-it-as-legal-tender.html
17#,[뉴스 CNBC]#,Elizabeth Holmes is living on the grounds of a $135 million Silicon Valley estate during her trial#,https://www.cnbc.com/2021/09/07/elizabeth-holmes-staying-at-135-million-silicon-valley-estate-during-theranos-trial.html
18#,[뉴스 CNBC]#,"Parents who raise emotionally intelligent kids teach this essential skill, says neuroscientist#",https://www.cnbc.com/2021/09/07/the-emotional-intelligence-skill-parents-need-to-teach-kids-according-to-parenting-experts.html
19#,[뉴스 CNBC]#,Kim Kardashian’s cryptocurrency Instagram ad sparks criticism from UK financial watchdog#,https://www.cnbc.com/2021/09/07/kim-kardashians-cryptocurrency-instagram-ad-sparks-criticism-from-fca.html
20#,[뉴스 CNBC]#,Dow slips 250 points to start the trading week as investors worry about delta's impact#,https://www.cnbc.com/2021/09/06/stock-market-futures-open-to-close-news.html
20#,[경제 환율]#,"1,162.00@5.00(+0.43%) 상승"
21#,[경제 나스닥]#,"15,366.83@3.31(+0.02%) 상승"
22#,[경제 SP]#,"4,519.33@16.10(-0.35%) 하락"
