N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 20일 (Fri)
1#,[뉴스 정치]#,광복절 미사일 경보 발령한 北…靑 “북한군 하계훈련 중”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=018&aid=0005015469
2#,[뉴스 정치]#,"윤석열, 당내 갈등에 '부자몸조심' 모드…발표회 '폭탄'도 피해갈까#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002522159
3#,[뉴스 정치]#,이수진 “월성 1호기 정치감사·수사한 최재형·윤석열 출마 자격 없어”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003611591
4#,[뉴스 정치]#,"황교익, 오늘까지 거취 고민...""이재명 지사에 부담 고려""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001629602
5#,[뉴스 정치]#,"황교익, '상왕' 이해찬 위로받고 '자진 사퇴' 시사#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002522155
6#,[뉴스 경제]#,"‘눈물의 사퇴 회견’ 홍원식, 남양유업 회장직 유지…두 아들 복직·승진#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=023&aid=0003634824
7#,[뉴스 경제]#,"파업 우려 현실되나···HMM 육상노조, 쟁의권 확보#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=011&aid=0003952119
8#,[뉴스 경제]#,"반도체 우려에 테이퍼링까지…""외국인, 가을까지 계속 판다""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005015467
9#,[뉴스 경제]#,"“집은 청약, 주식은 실적” 영끌한 돈 지키는 기본수칙#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001465376
10#,[뉴스 경제]#,"‘유동성 잔치’ 끝나나, 코스피 3100 깨졌다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003128120
11#,[뉴스 IT/과학]#,태양광 폐 패널 효율적으로 재활용#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=056&aid=0011104758
12#,[뉴스 IT/과학]#,"""입사지원서가 단 세줄?""…대학생 취업선호 1위 카카오 어떻게 직원 뽑나#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=009&aid=0004840735
13#,[뉴스 IT/과학]#,'그래픽카드 독주' 엔비디아에 도전장 내민 인텔…외주 물량은 TSMC에#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004593957
14#,[뉴스 IT/과학]#,"크립토아트와 메타버스의 결합, 또 다른 ‘플랫폼 노동시장’ 양산 [이광석의 디지털 이후 (33)]#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003092962
15#,[뉴스 IT/과학]#,"“아재폰 탈출, 앱 광고 삭제” 위기의 삼성, ‘애플빠’ 마음 돌릴까?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001876605
16#,[뉴스 CNBC]#,"Supreme Court, other DC buildings evacuated as police investigate bomb threat on Capitol Hill#",https://www.cnbc.com/2021/08/19/us-capitol-police-respond-to-report-of-suspicious-vehicle-near-library-of-congress.html
17#,[뉴스 CNBC]#,'This is warfare' – Trump allies pushed election conspiracies at ritzy party backed by Chinese exile#,https://www.cnbc.com/2021/08/19/giuliani-bannon-flynn-lindell-pushed-pro-trump-election-lies-at-guo-wengui-party.html
18#,[뉴스 CNBC]#,Unemployment benefits end soon for 7.5 million Americans. These extended pandemic programs may help#,https://www.cnbc.com/2021/08/18/unemployment-benefits-for-7point5-million-end-soon-these-programs-may-help.html
19#,[뉴스 CNBC]#,"People who are good at small talk always avoid these 7 mistakes, says public speaking expert#",https://www.cnbc.com/2021/08/17/avoid-these-mistakes-if-you-want-to-be-good-at-small-talk-says-public-speaking-expert.html
20#,[뉴스 CNBC]#,"$200,000 paychecks, exit opportunities and proximity to power: Why graduates flock to Wall Street#",https://www.cnbc.com/2021/08/19/why-college-graduates-flock-to-wall-street-jobs.html
20#,[경제 환율]#,"1,177.00@6.50(+0.56%) 상승"
21#,[경제 나스닥]#,"14,600.61@74.70(+0.51%) 상승"
22#,[경제 SP]#,"4,417.29@17.02(+0.39%) 상승"
