N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 29일 (Sun)
1#,[뉴스 정치]#,"조국이 저격한 평론가 ""빅토리아 시크릿, 조민 속옷 언급한 것 아냐""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003130401
2#,[뉴스 정치]#,"공중에 뜬 윤희숙 사퇴안...""반격 적반하장"" vs ""수사 기다려야""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001633334
3#,[뉴스 정치]#,"이재명 ""전술핵 포퓰리즘"" vs 홍준표·유승민 ""공부 더 하라""(종합2보)#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=003&aid=0010688778
4#,[뉴스 정치]#,"김부선, 추미애에 '18원' 후원하고서…""통큰 기부, 요즘 낭비벽""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=277&aid=0004960531
5#,[뉴스 정치]#,4년 만에 항모 동원 한 · 미 · 영 훈련…북한 반발하나?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=055&aid=0000917570
6#,[뉴스 경제]#,"30달러 깨진 쿠팡, 주가 반등하기 위한 조건은?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=277&aid=0004960509
7#,[뉴스 경제]#,아무도 못막는 대출....더 늘어난 '빚내자' 행렬#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010688708
8#,[뉴스 경제]#,"1,793명 확진…추석 방역 완화 수위 검토 중#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=422&aid=0000501914
9#,[뉴스 경제]#,반도체업계 잇달아 '빅딜'…삼성전자는 언제 공식화?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=031&aid=0000621021
10#,[뉴스 경제]#,뒷통수 친 브랜드 아파트?…'곰팡이'로 얼룩진 집안 '충격'#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=031&aid=0000621020
11#,[뉴스 IT/과학]#,'블소2' 흥행부진에 시총 4조 증발…고개숙인 게임名家[인싸IT]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004637640
12#,[뉴스 IT/과학]#,“의사도 아닌데…” 사람 여럿 구한 화제의 ‘그것’ [IT선빵!]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001880154
13#,[뉴스 IT/과학]#,"애플 앱스토어, 외부결제 허용 사실일까?…생색내기에 불과한 이유#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=018&aid=0005022075
14#,[뉴스 IT/과학]#,"""출시 3주 남았나?""…애플 '야심작' 아이폰13 어떤 모습일까 [배성수의 다다IT선]#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004597273
15#,[뉴스 IT/과학]#,김혜수·고현정이 푹 빠진 이 운동…과학적 효과는?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001880142
16#,[뉴스 CNBC]#,"People who are good at small talk always avoid these 7 mistakes, says public speaking expert#",https://www.cnbc.com/2021/08/17/avoid-these-mistakes-if-you-want-to-be-good-at-small-talk-says-public-speaking-expert.html
17#,[뉴스 CNBC]#,"Fed is stoking real estate price bubble that will wipe out home equity, investor Peter Boockvar warns#",https://www.cnbc.com/2021/08/27/housing-price-bubble-will-wipe-out-wealth-peter-boockvar-warns.html
18#,[뉴스 CNBC]#,"How much you'll need to invest every month to earn $35,000 per year in interest for retirement#",https://www.cnbc.com/2021/08/27/interest-only-retirement-how-much-you-need-to-invest-every-month.html
19#,[뉴스 CNBC]#,"Education Department will cancel student debt for 115,000 borrowers#",https://www.cnbc.com/2021/08/26/education-department-will-cancel-student-debt-for-115000-borrowers-.html
20#,[뉴스 CNBC]#,"Chicago sues DoorDash, Grubhub for allegedly deceiving customers#",https://www.cnbc.com/2021/08/27/chicago-sues-doordash-grubhub-for-allegedly-deceiving-customers.html
20#,[경제 환율]#,"1,170.00@0.50(-0.04%) 하락"
21#,[경제 나스닥]#,"15,129.50@183.69(+1.23%) 상승"
22#,[경제 SP]#,"4,509.37@39.37(+0.88%) 상승"
