N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 09일 (Mon)
1#,[뉴스 정치]#,민주당 아슬아슬 레이스… 벌써 ‘경선 불복’까지 언급#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=005&aid=0001462979
2#,[뉴스 정치]#,'윤석열 VS 최재형' 당내 세 대결 승자는…현재 '현역 9:9'로 타이#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002518520
3#,[뉴스 정치]#,‘朴 불구속 수사하려 했다’ 尹 전언에 김의겸 “나와 술자리서 ‘朴 3년이 치욕’이라더니”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003608099
4#,[뉴스 정치]#,첨단 드론 전력화...수소 연료 전지에 유탄 발사·소총 조준 사격까지#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001624703
5#,[뉴스 정치]#,"윤석열 '세 불리기' 가속화...""줄 세우기"" 견제 목소리#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001624690
6#,[뉴스 경제]#,'10명 중 7명 찬성' 이재용 운명의 날…가석방 여부 오늘(9일) 결정#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=629&aid=0000099463
7#,[뉴스 경제]#,"현대차·기아, '판 벌어진' 글로벌 전기차 시장 제대로 노린다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=629&aid=0000099461
8#,[뉴스 경제]#,고평가 논란 잠재운 카카오뱅크…이유 있는 '금융 대장주' 직행#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=629&aid=0000099460
9#,[뉴스 경제]#,"'김연경 찐팬 인증' 최태원 ""김연경 선수와 대표팀 자랑스러워···내 마음속 금메달""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=011&aid=0003947391
10#,[뉴스 경제]#,"법정화폐는 NO, 투기는 YES… 한국은행, 가상화폐 미래 전망#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=022&aid=0003608083
11#,[뉴스 IT/과학]#,"카카오모빌리티, 택시 호출 이어 공유 전기자전거 요금↑ 분당 추가 최대 150원으로#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=022&aid=0003608082
12#,[뉴스 IT/과학]#,"석회암의 ‘고마운 비밀’ [돌이 된 생명의 역사, 화석]#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003090576
13#,[뉴스 IT/과학]#,"프랑스군, 내년 드론 잡는 ‘레이저 무기’ 시험 배치…파리 올림픽 보안에도 활용할 듯#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003090574
14#,[뉴스 IT/과학]#,문 열려면 ‘로봇의 바퀴’를 없애라#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003090573
15#,[뉴스 IT/과학]#,[영상] “160만→80만” 삼성 폴더블 신작 앞두고 ‘괴물폰’ 가격 뚝#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001871954
16#,[뉴스 CNBC]#,This 65-year-old retiree just moved to a $420 per month apartment in Mexico by the beach — take a look#,https://www.cnbc.com/2021/08/07/this-65-year-old-retiree-just-moved-to-a-420-a-month-apartment-in-mexico-by-the-beach-see-photos.html
17#,[뉴스 CNBC]#,Warren Buffett’s winning equity portfolio is concentrated in just 4 stocks. Here’s what they are#,https://www.cnbc.com/2021/08/07/warren-buffetts-winning-equity-portfolio-is-concentrated-in-just-4-stocks-heres-what-they-are.html
18#,[뉴스 CNBC]#,How the outlook for Social Security benefits changed amid the pandemic#,https://www.cnbc.com/2021/08/06/how-the-outlook-for-social-security-benefits-changed-amid-the-pandemic.html
19#,[뉴스 CNBC]#,Wall Street's top analysts believe these stocks could be long-term winners#,https://www.cnbc.com/2021/08/08/top-street-analysts-see-square-twilio-as-long-term-winners.html
20#,[뉴스 CNBC]#,Aramco posts nearly 300% leap in second-quarter profit on global demand recovery#,https://www.cnbc.com/2021/08/08/saudi-aramco-posts-near-300percent-leap-in-q2-profit-on-global-demand-recovery.html
20#,[경제 환율]#,"1,146.00@2.50(+0.22%) 상승"
21#,[경제 나스닥]#,"14,835.76@59.36(-0.40%) 하락"
22#,[경제 SP]#,"4,436.52@7.42(+0.17%) 상승"
