N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 13일 (Fri)
1#,[뉴스 정치]#,靑내부 “이재명 너무 나갔다”면서도… ‘全도민 지원금’ 공식 입장 안밝혀#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=023&aid=0003633632
2#,[뉴스 정치]#,"원희룡 ""尹 공격 비겁해"" vs 홍준표·유승민 ""자중하라""(종합2보)#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=003&aid=0010664283
3#,[뉴스 정치]#,"추미애, 이재명 재난지원금 엄호사격 ""반발 이해 안 돼""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=003&aid=0010664282
4#,[뉴스 정치]#,"DJ ""박정희에 원한·복수심 갖지 않아"" 육성 공개#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=001&aid=0012598826
5#,[뉴스 정치]#,‘이재용 가석방’ 입 연 文 대통령 “찬성·반대 모두 옳다… 국익 위한 선택”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003609892
6#,[뉴스 경제]#,"이재용 부회장, 출소 직후 회사로…경영복귀 시동(종합)#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010664285
7#,[뉴스 경제]#,[다시뛰는 百年시장]⑧ 상인들이 똘똘 뭉쳐 살려낸 성주전통시장#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011101287
8#,[뉴스 경제]#,3년 넘게 영업했는데…“금융당국 뭐 했나?”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011101216
9#,[뉴스 경제]#,[단독] ‘기한 지난 해외자료’ 벤치마킹한 ‘2050 탄소중립 시나리오’#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011101208
10#,[뉴스 경제]#,병든 50대 아버지 굶겨 죽인 20대 아들에 징역 4년#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005010741
11#,[뉴스 IT/과학]#,"“카메라 최고 사양” 중국폰 vs 삼성폰, 실제 사진 비교해 보니#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001874506
12#,[뉴스 IT/과학]#,"요기요, 8개월 만에 새주인 찾았다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000618645
13#,[뉴스 IT/과학]#,단점 '싹' 개선..'갤럭시Z플립3' 살펴보니(영상)[말랑리뷰]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=018&aid=0005010726
14#,[뉴스 IT/과학]#,“할인 좀 받으려다 690만원 허공에” 포인트 먹튀 논란에 ‘야밤’ 난리#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001874503
15#,[뉴스 IT/과학]#,"배달앱 2위 요기요, GS리테일이 품었다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=014&aid=0004691964
16#,[뉴스 CNBC]#,The family that bet everything on bitcoin when it was $900 is now storing it in secret vaults#,https://www.cnbc.com/2021/08/11/bitcoin-family-hides-bitcoin-ethereum-and-litecoin-in-secret-vaults.html
17#,[뉴스 CNBC]#,Virgin Galactic shares fall after Richard Branson dumps another huge stake worth $300 million#,https://www.cnbc.com/2021/08/13/richard-branson-sells-virgin-galactic-stake-worth-300-million.html
18#,[뉴스 CNBC]#,Texas deploys out-of-state health workers to fight Covid as younger people crowd hospitals#,https://www.cnbc.com/2021/08/13/texas-covid-abbott-deploys-2500-out-of-state-medical-workers-as-younger-patients-crowd-hospitals.html
19#,[뉴스 CNBC]#,'Breaking society apart': Unvaccinated people are angry as they face more Covid restrictions#,https://www.cnbc.com/2021/08/13/unvaccinated-people-face-more-covid-restrictions-in-future.html
20#,[뉴스 CNBC]#,FDA permits Covid vaccine booster shots for people with weakened immune systems#,https://www.cnbc.com/2021/08/13/covid-booster-shots-fda-permits-third-dose-for-the-immune-deficient.html
20#,[경제 환율]#,"1,169.00@5.50(+0.47%) 상승"
21#,[경제 나스닥]#,"14,816.26@51.12(+0.35%) 상승"
22#,[경제 SP]#,"4,460.83@13.13(+0.30%) 상승"
