N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 09월 01일 (Wed)
1#,[뉴스 정치]#,이재명 “나를 MB에 비유한 건 범죄행위” 윤영찬 “인신공격”…무료변론 정면충돌#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003131298
2#,[뉴스 정치]#,다시 불붙은 명·낙대전…이재명 '무료변론' 설전#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=629&aid=0000103575
3#,[뉴스 정치]#,"'박병석 GSGG' 욕설 파문 與초선 김승원, 朴 찾아가 '사과'#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002525867
4#,[뉴스 정치]#,프로파일러가 본 전자발찌 그놈의 발길질…“허세의 의미”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=023&aid=0003637361
5#,[뉴스 정치]#,[나이트포커스] '역선택' 갈등 확산...찬반 갈린 주자들#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001634602
6#,[뉴스 경제]#,연 7%대 적금 등장… 안전자산으로 ‘머니 무브’ 꿈틀#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001467772
7#,[뉴스 경제]#,"[현장에서] 고신용자만 옥죄는 대출규제, 상식이 사라진 금융시장#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003131337
8#,[뉴스 경제]#,“개인별 얼마씩 연금받나 알 수 있는 통합 연금통계 준비”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003131335
9#,[뉴스 경제]#,"文정부 5년, 나랏빚 400兆 불었다…차기정부는 1500兆 빚더미#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005024840
10#,[뉴스 경제]#,"[당신의 돈] 국민주와 황제주, 어디에 눈길이 가십니까#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=023&aid=0003637362
11#,[뉴스 IT/과학]#,‘빠르다’ SKT·‘어디서나’ LGU+·‘인파 속에서도’ KT#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003095426
12#,[뉴스 IT/과학]#,"“폴더블폰, 아직은 너무 두꺼워요” 더 얇아질 수는 없을까#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001881559
13#,[뉴스 IT/과학]#,"앱 마켓 '수수료 갑질' 세계 첫 규제…구글 ""준수 방안 모색 중""(종합)#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=001&aid=0012633693
14#,[뉴스 IT/과학]#,구글갑질방지법 국회 통과… 세계 첫 입법규제#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=014&aid=0004701209
15#,[뉴스 IT/과학]#,‘인앱 결제’ 강제 금지 세계 첫 법제화…의미와 파장은?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=056&aid=0011111748
16#,[뉴스 CNBC]#,'They have better things to do' – Major Republican donors are staying away from Trump#,https://www.cnbc.com/2021/08/31/trump-gets-little-support-from-major-republican-donors.html
17#,[뉴스 CNBC]#,"Nearly 1 million Covid booster shots have already been administered in the U.S., CDC data shows#",https://www.cnbc.com/2021/08/31/cdc-nearly-1-million-covid-booster-shots-have-already-been-administered-in-us.html
18#,[뉴스 CNBC]#,"Elizabeth Holmes, one-time billionaire and media darling, goes on trial#",https://www.cnbc.com/2021/08/30/elizabeth-holmes-one-time-billionaire-and-ceo-finally-goes-on-trial.html
19#,[뉴스 CNBC]#,"These 14- and 9-year-old siblings earn over $30,000 a month mining cryptocurrency#",https://www.cnbc.com/2021/08/31/kid-siblings-earn-thousands-per-month-mining-crypto-like-bitcoin-eth.html
20#,[뉴스 CNBC]#,"Despite end to national protection, these states are still banning evictions#",https://www.cnbc.com/2021/08/30/evictions-are-still-banned-in-these-states-.html
20#,[경제 환율]#,"1,157.50@7.50(-0.64%) 하락"
21#,[경제 나스닥]#,"15,235.66@30.23(-0.20%) 하락"
22#,[경제 SP]#,"4,527.96@0.83(-0.02%) 하락"
