N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 16일 (Mon)
1#,[뉴스 정치]#,"'우리가 이재명'…조정식·정성호·우원식, 일당백 역할 '톡톡'#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002520709
2#,[뉴스 정치]#,최재형 캠프 “추미애는 文대통령에게 침 뱉지 말라”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=005&aid=0001464442
3#,[뉴스 정치]#,"최재형 딸, 이자소득세 탈루에 “제 불찰입니다”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=023&aid=0003633880
4#,[뉴스 정치]#,"김원웅 분열의 8·15, 보수 야권 향해 “친일세력”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003126853
5#,[뉴스 정치]#,"이번엔 이준석 통화녹취록 의혹, 막장 치닫는 이·윤 갈등#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003126838
6#,[뉴스 경제]#,"삼성, 미국 배터리공장 건설 빨라진다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003126809
7#,[뉴스 경제]#,직시생·맘시생까지…‘평생 직장’ 공무원 갈아타기 열공#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003126819
8#,[뉴스 경제]#,[밥상물가 어디까지]라면값 도미노 인상 현실로…서민 가계에 '날벼락'#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010665824
9#,[뉴스 경제]#,"""사전청약 물량 3만2000호로 확대""…수도권 집값 잡힐까?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010665823
10#,[뉴스 경제]#,"15억 아파트 복비, 현재 최대 1350만원서 960만원 이내로?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=032&aid=0003091964
11#,[뉴스 IT/과학]#,5G 대규모 투자 앞둔 통신3사 … 3분기 실적도 날까#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=014&aid=0004692340
12#,[뉴스 IT/과학]#,코인 세금도 반발 높은 판에… ‘NFT 과세’ 채비 나선 정부#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=014&aid=0004692338
13#,[뉴스 IT/과학]#,은행·VC·사모펀드도 ‘베팅’… 블록체인·가상자산 뛰어든 큰손#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=014&aid=0004692334
14#,[뉴스 IT/과학]#,"머스크 ""인간 달 착륙 프로젝트, 2024년 전 가능""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=031&aid=0000618708
15#,[뉴스 IT/과학]#,배달앱이 왜 영화를?…'배달의민족'의 엉뚱한 도전[인싸IT]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004631458
16#,[뉴스 CNBC]#,How much your Social Security check may increase in 2022#,https://www.cnbc.com/2021/08/13/how-the-2022-cola-could-increase-social-security-benefits.html
17#,[뉴스 CNBC]#,The family that bet everything on bitcoin when it was $900 is now storing it in secret vaults#,https://www.cnbc.com/2021/08/11/bitcoin-family-hides-bitcoin-ethereum-and-litecoin-in-secret-vaults.html
18#,[뉴스 CNBC]#,"A bunch of MIT students got $100 of free bitcoin in 2014 – some got rich, some wasted it on sushi#",https://www.cnbc.com/2021/08/14/mit-student-gave-away-100-worth-of-bitcoin-to-all-undergrads-in-2014.html
19#,[뉴스 CNBC]#,Taliban enter Afghanistan's capital Kabul as U.S. forces evacuate Western diplomats#,https://www.cnbc.com/2021/08/15/taliban-fighters-enter-afghanistan-capital-kabul-.html
20#,[뉴스 CNBC]#,This 29-year-old YouTube millionaire has a good chance to be the next governor of California#,https://www.cnbc.com/2021/08/15/youtube-star-kevin-paffrath-is-democratic-leader-in-california-recall.html
20#,[경제 환율]#,"1,169.00@5.50(+0.47%) 상승"
21#,[경제 나스닥]#,"14,822.90@6.64(+0.04%) 상승"
22#,[경제 SP]#,"4,468.00@7.17(+0.16%) 상승"
